WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
*Blink                   4   -99     9     9   -99   -99   421   -99   -99   -99     -99
the                      4     2     3     3    35   217   228     2     2   -99    3511
rising                   4     2     6     6    42   219   201     0     0    -7       5
rising                   4     2     6     6    46   219   183     4     4    -4       5
above                    4     2     5     5    53   220   294     4     4    -7       7
the                      4     2     3     3    58   221   216     3     3    -5    3511
volcanoes                4     2     9     9    68   222   296     9     9   -10       1
Isabela                  4     2     7     7    73   224   263     1     1    -5       1
Isabela                  4     2     7     7    75   224   406     3     3    -2       1
across                   4     3     6     6     7   226   303     0     0   -99      28
the                      4     3     3     3    15   227   160     1     1    -8    3511
strait,                  4     3     7     6    24   228   429     6     6    -9       1
could                    4     3     5     5    33   230   187     4     4    -9      84
forgiven                 4     3     8     8    42   232   300     4     4    -9       2
thinking                 4     3     8     8    51   234   195     0     0    -9      10
that                     4     3     4     4    63   235   186     3     3   -12     871
were                     4     3     4     4    70   237   175     2     2    -7     106
guests                   4     3     6     6    73   238   133     0     0    -3       3
paradise.                4     4     9     8    11   240   183     8     8   -99       2
paradise.                4     4     9     8     8   240   255     5     5     3       2
creatures                4     4     9     9    26   242   212     5     5   -18       3
see                      4     4     3     3    35   244   163     0     0    -9      41
the                      4     4     3     3    44   246   191     2     2    -9    3511
Galapagos                4     4     9     9    50   247   164     4     4    -6       7
remarkable               4     4    10    10    60   249   222     0     0   -10       4
remarkable               4     4    10    10    68   249   139     8     8    -8       4
their                    4     4     5     5    75   251   148     1     1    -7     225
They                     4     5     4     4     9   253   192     1     1   -99     258
rarity.                  4     5     7     6     7   252   111     7     7     2       2
more                     4     5     4     4    26   256   192     4     4   -19     168
their                    4     5     5     5    35   259   194     1     1    -9     225
lack                     4     5     4     4    43   260   182     3     3    -8       7
fear.                    4     5     5     4    50   262   189     2     2    -7       9
don't                    4     5     5     5    63   264   191     4     4   -13     -99
run                      4     5     3     3    68   265   198     3     3    -5      20
They                     4     5     4     4    75   267   160     0     0    -7     258
They                     4     5     4     4    79   267   190     4     4    -4     258
*Off-screen              5   -99     4     4   -99   -99   147   -99   -99   -99     -99
carry                    5     1     5     5     2   268   199     2     2   -99       6
basking                  5     1     7     7    12   270   159     3     3   -10       2
*Blink                   5   -99     7     7   -99   -99    85   -99   -99   -99     -99
playing                  5     1     7     7    24   272   243     4     4   -99       6
mating                   5     1     6     6    33   274   271     2     2    -9       2
incubating               5     1    10    10    42   276   220     1     1    -9       1
incubating               5     1    10    10    51   276   194    10    10    -9       1
eggs                     5     1     4     4    60   278   222     2     2    -9       1
fighting                 5     1     8     8    69   280   191     3     3    -9       2
for                      5     1     3     3    77   281   142     2     2    -8     519
territory                5     2     9     9     5   282   245     5     5   -99       3
blissful                 5     2     8     8    19   284   283     4     4   -14       1
disregard                5     2     9     9    26   285    77     2     2    -7       2
territory                5     2     9     9     4   282   244     4     4    22       3
territory                5     2     9     9     7   282   132     7     7    -3       3
blissful                 5     2     8     8    16   284   224     1     1    -9       1
disregard                5     2     9     9    26   285   218     2     2   -10       2
for                      5     2     3     3    37   286   165     3     3   -11     519
beings.                  5     2     7     6    45   288    97     1     1    -8       4
*Blink                   5   -99     7     6   -99   -99   121   -99   -99   -99     -99
is                       5     2     2     2    56   290   219     1     1   -99     717
you                      5     2     3     3    67   293   186     3     3   -11     179
walking                  5     2     7     7    73   295   151     1     1    -6       5
a                        5     3     1     1     6   297   250     1     1   -99    1434
programme,               5     3    10     9    30   300   213     4     4   -24       8
finding                  5     3     7     7    44   302   229     3     3   -14       9
real                     5     3     4     4    58   305   233     0     0   -14      37
*Blink                   5   -99     4     4   -99   -99   108   -99   -99   -99     -99
even                     5     3     4     4    73   308   134     1     1   -99      84
better                   5     4     6     6     6   309   212     6     6   -99      26
imagined.                5     4     9     8    23   313   207     2     2   -17       2
imagined.                5     4     9     8    29   313   176     8     8    -6       2
closeness                5     4     9     9    40   315   266     5     5   -11       1
of                       5     4     2     2    46   316   229     1     1    -6    1757
living                   5     4     6     6    55   318   195     3     3    -9      10
natural                  5     4     7     7    64   319   192     5     5    -9       9
world,                   5     4     6     5    70   320   164     3     3    -6      60
in                       5     4     2     2    74   321   130     0     0    -4    1091
environment              5     5    11    11     8   323   252     3     3   -99      10
volcanic                 5     5     8     8    26   325   223     6     6   -18       1
and                      5     5     3     3    34   327   157     0     0    -8    1283
sweeping                 5     5     8     8    46   328   213     8     8   -12       2
sparse                   5     5     6     6    60   331   242     1     1   -14       2
beaches                  5     5     7     7    53   329   208     6     6     7       2
sparse                   5     5     6     6    65   331   245     6     6   -12       2
vegetation,              5     5    11    10    72   332   404     6     6    -7       2
makes                    6     1     5     5     4   333   302     4     4     0      14
Galapagos                6     1     9     9    18   335   160     8     8   -14       7
Galapagos                6     1     9     9    16   335    70     6     6     2       7
experience               6     1    10    10    27   336   198     7     7   -11      17
special.                 6     1     8     7    36   337   211     5     5    -9      10
colours                  6     1     7     7    51   339   271     3     3   -15       2
help,                    6     1     5     4    58   340   200     2     2    -7      21
too.                     6     1     4     3    64   341   220     2     2    -6      56
intense                  6     1     7     7    71   343   208     0     0    -7       2
intense                  6     1     7     7    73   343    99     2     2    -2       2
of                       6     2     2     2     8   345   185     2     2   -99    1757
of                       6     2     2     2     6   345   165     0     0     2    1757
*Blink                   6   -99     2     2   -99   -99   124   -99   -99   -99     -99
startling                6     2     9     9    23   349   267     0     0   -99       1
startling                6     2     9     9    32   349   272     9     9    -9       1
of                       6     2     2     2    39   351   225     1     1    -7    1757
and                      6     2     3     3    46   353   188     1     1    -7    1283
sky,                     6     2     4     3    53   354   272     4     4    -7       4
crimson                  6     2     7     7    61   356   277     3     3    -8       1
the                      6     2     3     3    69   358   175     0     0    -8    3511
mating                   6     2     6     6    73   359   209     0     0    -4       2
mating                   6     2     6     6    76   359   146     3     3    -3       2
frigate-birds,           6     3    14    13     7   360   215     7     7   -99     -99
frigate-birds,           6     3    14    13     4   360   239     4     4     3     -99
frigate-birds,           6     3    14    13     3   360   363     3     3     1     -99
the                      6     3     3     3    18   361   158     3     3   -15    3511
yellow                   6     3     6     6    25   362   265     6     6    -7       4
